YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NS7,5905,4155
2022-12,WEEKDAY,11,TRAIN,NS7,9985,8096
2022-12,WEEKDAY,16,TRAIN,SW4,1317,1385
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,SW4,685,690
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,CC5,777,1379
2022-12,WEEKDAY,10,TRAIN,CC5,1505,3149
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1094,1064
2022-12,WEEKDAY,13,TRAIN,CC23,5310,5607
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,EW33,676,1151
2022-12,WEEKDAY,22,TRAIN,EW33,972,1500
2022-12,WEEKDAY,14,TRAIN,CC21,5414,4575
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,CC21,2605,2265
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,TE16,1904,1598
2022-12,WEEKDAY,12,TRAIN,TE16,3037,2401
2022-12,WEEKDAY,18,TRAIN,EW24,140538,104418
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,38386,33996
2022-12,WEEKDAY,18,TRAIN,NS1,140538,104418
2022-12,WEEKDAY,18,TRAIN,EW24/NS1,140538,104418
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,NS1,38386,33996
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,EW24,38386,33996
2022-12,WEEKDAY,7,TRAIN,NE10,13448,14475
2022-12,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2913,2254
2022-12,WEEKDAY,8,TRAIN,EW22,7350,18770
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1390,1527
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,NS28,279,235
2022-12,WEEKDAY,22,TRAIN,NS28,483,203
2022-12,WEEKDAY,0,TRAIN,TE11,21,93
2022-12,WEEKDAY,0,TRAIN,DT10,27,119
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,DT10,33,168
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,TE11,27,151
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,TE17,277,522
2022-12,WEEKDAY,10,TRAIN,TE17,553,1813
2022-12,WEEKDAY,10,TRAIN,EW16/NE3/TE17,3879,7266
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,1102,1886
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,EW16,1102,1886
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,NE3,3769,3257
2022-12,WEEKDAY,10,TRAIN,NE3,12285,13717
2022-12,WEEKDAY,10,TRAIN,EW16,3879,7266
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2203,1247
2022-12,WEEKDAY,9,TRAIN,CC14,5490,3500
2022-12,WEEKDAY,14,TRAIN,EW27,26032,27329
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,EW27,16321,16326
2022-12,WEEKDAY,0,TRAIN,CE2,6,65
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,TE20,246,100
2022-12,WEEKDAY,0,TRAIN,NS27/CE2/TE20,6,65
2022-12,WEEKDAY,0,TRAIN,TE20,1,20
2022-12,WEEKDAY,0,TRAIN,NS27,10,31
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,2652,135
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,CE2,2652,135
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NS27,3889,318
2022-12,WEEKDAY,18,TRAIN,DT27,19617,8783
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,DT27,3111,2526
